gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000579	61.50288	0.09033776	0.17176224	0.03345428	0.3995834
ENSMUSG00000000581	254.4397	-0.003881364	0.12108724	0.9410174	0.9863162
ENSMUSG00000000594	261.8801	-0.01306419	0.09706196	0.8394779	0.9643961
ENSMUSG00000000600	658.4872	-0.103399	0.1054989	0.1153558	0.5820013
ENSMUSG00000000605	1228.649	-0.005531554	0.09486567	0.931749	0.9841595
ENSMUSG00000000627	161.3084	-0.00233584	0.11934603	0.9655814	0.9907682
ENSMUSG00000000628	23.0735	0.008696006	0.13376553	0.8092616	0.9549544
ENSMUSG00000000631	1075.641	-0.03892504	0.11347201	0.514153	0.8613353
ENSMUSG00000000632	1921.652	-0.0773795	0.1314292	0.1370597	0.6012999
ENSMUSG00000000673	0.8107182	0.0107906	0.2156576	0.4410702	NA
ENSMUSG00000000682	5.467482	-0.02738939	0.15167041	0.2718307	0.732472
ENSMUSG00000000686	9.357214	0.007087308	0.14142229	0.7763998	0.9456372
ENSMUSG00000000690	0.04395546	0	0.22572474	1	NA
ENSMUSG00000000693	25.23361	0.09019934	0.18141931	0.02886771	0.3780002
ENSMUSG00000000706	0.9133552	0.003208214	0.18480684	0.8093297	NA
ENSMUSG00000000708	337.9316	-0.03081318	0.12149015	0.5623598	0.8808068
ENSMUSG00000000711	866.681	0.09337638	0.10028313	0.1556931	0.6190273
ENSMUSG00000000724	0.2215395	-0.007824558	0.24191994	0.5276985	NA
ENSMUSG00000000730	0.1140666	0	0.22572474	1	NA
ENSMUSG00000000731	0.5079538	-0.009175966	0.2113204	0.5018919	NA
ENSMUSG00000000732	21.33332	0.06338351	0.15345492	0.08990356	0.5433131
ENSMUSG00000000738	240.5511	-0.05186966	0.12109161	0.3489558	0.7788647
ENSMUSG00000000739	0.4568295	-0.002807845	0.21834088	0.8181825	NA
ENSMUSG00000000740	1629.422	0.05320975	0.09724288	0.412576	0.817924
ENSMUSG00000000743	468.9379	0.1440468	0.10050003	0.03284524	0.3966941
ENSMUSG00000000751	324.5633	0.05322652	0.11429229	0.374745	0.7960389
ENSMUSG00000000753	30.93805	-0.1597423	0.27961277	0.004577469	0.19795
ENSMUSG00000000759	376.0286	-0.01391103	0.09993879	0.8283183	0.961297
ENSMUSG00000000766	158.8892	-0.01166062	0.12484947	0.8100178	0.9551547
ENSMUSG00000000776	77.40036	0.03490977	0.11617485	0.5454839	0.8745657
ENSMUSG00000000782	33.5638	-0.08701863	0.14750334	0.06389373	0.4927903
ENSMUSG00000000787	1981.95	-0.03347428	0.10203887	0.6008031	0.895847
ENSMUSG00000000791	3.800804	0.03610791	0.20883911	0.107967	0.5746442
ENSMUSG00000000792	33.2515	0.03461769	0.13938372	0.3190676	0.766163
ENSMUSG00000000794	583.7462	-0.04021441	0.10444775	0.5267169	0.8670738
ENSMUSG00000000804	1198.428	-0.3469258	0.10605432	2.633656e-06	0.003133886
ENSMUSG00000000805	32.68514	-0.07078758	0.14664977	0.09408239	0.5524054
ENSMUSG00000000811	19.16539	-0.03718006	0.13385347	0.3641683	0.7904014
ENSMUSG00000000817	1.156622	0.002268775	0.17436773	0.8686221	NA
ENSMUSG00000000823	602.4644	-0.07417506	0.1146288	0.225913	0.6887209
ENSMUSG00000000826	2368.616	-0.003853084	0.11955931	0.9430571	0.9866882
ENSMUSG00000000827	288.5263	0.01581788	0.106949	0.7994036	0.9511894
ENSMUSG00000000838	427.7223	-0.09996761	0.11202517	0.1189608	0.5859388
ENSMUSG00000000861	553.8728	-0.138883	0.14260875	0.02255556	0.3495473
ENSMUSG00000000869	0.3310135	-0.007824558	0.24191994	0.5276985	NA
ENSMUSG00000000876	59.19376	-0.01029404	0.12190289	0.8422827	0.9646428
ENSMUSG00000000881	1040.337	-0.01804267	0.09091796	0.7797303	0.9462225
ENSMUSG00000000884	22.58597	-0.007567514	0.13414984	0.8304635	0.9617923
ENSMUSG00000000889	0.4865456	-0.002995541	0.21714561	0.8071955	NA
ENSMUSG00000000901	11.17377	-0.02811442	0.14217537	0.352174	0.7807454
ENSMUSG00000000902	355.4194	0.09103767	0.10875051	0.1575556	0.621701
ENSMUSG00000000903	0.3940168	-0.007879042	0.24213107	0.525099	NA
ENSMUSG00000000915	560.1308	0.07836681	0.10968992	0.2167021	0.6824645
ENSMUSG00000000916	66.10722	0.1293248	0.17341561	0.0157953	0.3020209
ENSMUSG00000000934	68.19165	0.04866856	0.12552528	0.3431077	0.7769303
ENSMUSG00000000938	0.06412521	-0.002376878	0.22735996	0.8408827	NA
ENSMUSG00000000948	597.8028	-0.1203715	0.13401472	0.0429473	0.4302181
ENSMUSG00000000957	40.04181	0.02466546	0.12896266	0.5792268	0.8877717
ENSMUSG00000000958	7.374008	0.03101385	0.16234872	0.19315	0.6623361
ENSMUSG00000000959	213.4924	0.164718	0.11560415	0.01608752	0.3038594
ENSMUSG00000000976	185.8068	0.05476975	0.11755906	0.3460222	0.7782536
ENSMUSG00000000982	0.6541386	-0.002103043	0.20053782	0.8683271	NA
ENSMUSG00000000983	3.080647	0.0196013	0.15988626	0.328913	0.7714887
ENSMUSG00000001014	1.685709	-0.01348606	0.18459292	0.3910095	0.8086547
ENSMUSG00000001016	485.4105	0.09994057	0.0972638	0.1299542	0.5948951
ENSMUSG00000001017	981.4175	0.06784842	0.09857223	0.2977809	0.7548196
ENSMUSG00000001018	273.1111	0.04453088	0.10418203	0.484534	0.8497154
ENSMUSG00000001020	10.08167	-0.01009408	0.1363429	0.7544796	0.939437
ENSMUSG00000001021	7.701095	0.04858999	0.19206773	0.07451992	0.5124701
ENSMUSG00000001023	0.03952348	0	0.22572474	1	NA
ENSMUSG00000001025	42.06424	0.06753249	0.13842713	0.136939	0.6011148
ENSMUSG00000001027	0.05517465	0	0.22572474	1	NA
ENSMUSG00000001029	8.416509	-0.007089981	0.14189679	0.7715752	0.9448616
ENSMUSG00000001034	90.07204	0.05078148	0.12228768	0.3499679	0.7790917
ENSMUSG00000001036	926.7434	-0.08263306	0.10403423	0.2035749	0.6710288
ENSMUSG00000001039	53.02639	-0.01477272	0.12810628	0.740522	0.9374224
ENSMUSG00000001052	341.7893	-0.08036027	0.12584078	0.1506385	0.615044
ENSMUSG00000001053	56.30276	-0.01659035	0.12779751	0.7132594	0.9308041
ENSMUSG00000001054	229.2116	-0.01364565	0.11563029	0.8120073	0.9554942
ENSMUSG00000001056	125.6309	-0.03540514	0.11029749	0.562984	0.8809423
ENSMUSG00000001062	210.8916	-0.009780583	0.12002778	0.8551835	0.9672829
ENSMUSG00000001065	180.0763	0.03173327	0.10474429	0.6159187	0.9017336
ENSMUSG00000001082	72.84644	-0.03379514	0.12724108	0.4780663	0.8477506
ENSMUSG00000001089	513.9333	-0.08067642	0.11005991	0.2035664	0.6710288
ENSMUSG00000001098	288.498	0.1069594	0.11233255	0.0974612	0.5599166
ENSMUSG00000001100	415.0173	0.03384294	0.103954	0.5941961	0.8932512
ENSMUSG00000001103	4.594667	-0.0367307	0.21081934	0.1043543	0.5720705
ENSMUSG00000001105	172.6914	-0.02396846	0.11857403	0.6651273	0.9171883
ENSMUSG00000001119	1504.927	0.01761828	0.11392095	0.7638792	0.9430222
ENSMUSG00000001120	179.0161	0.06733639	0.12176561	0.2343704	0.6971064
ENSMUSG00000001123	18.85471	-0.04851828	0.14360401	0.1817241	0.6507331
ENSMUSG00000001127	955.3127	0.1482986	0.1096518	0.02846415	0.3767566
ENSMUSG00000001128	26.44985	0.03788116	0.13958271	0.2873635	0.7452712
ENSMUSG00000001131	0.1812388	-0.00237094	0.22735185	0.8412712	NA
ENSMUSG00000001134	26.59134	0.02765315	0.13596723	0.4463282	0.8330716
ENSMUSG00000001138	175.8368	0.1244458	0.13596875	0.03700529	0.408668
ENSMUSG00000001143	193.5553	0.02166748	0.12777229	0.6348577	0.9080695
ENSMUSG00000001150	598.357	-0.09302406	0.09166056	0.1550067	0.618336
ENSMUSG00000001151	349.8932	-0.004850333	0.10527343	0.9384126	0.9856257
ENSMUSG00000001155	1.001317	0.008481872	0.17054896	0.5748993	NA
ENSMUSG00000001156	208.3001	-0.03033568	0.12073603	0.5731497	0.8852256
ENSMUSG00000001157	217.3315	-0.09804646	0.11435992	0.1211906	0.5895116
ENSMUSG00000001158	119.3515	-0.03557915	0.12229642	0.5005596	0.8562582
ENSMUSG00000001166	5.006491	0.0568344	0.24176529	0.04543779	0.4395783
ENSMUSG00000001173	690.7722	-0.0302119	0.10858212	0.6251526	0.9046707
ENSMUSG00000001175	16957.39	-0.08079118	0.08995622	0.2138411	0.6782463
ENSMUSG00000001211	1143.141	0.1082327	0.10587818	0.1002514	0.5636997
ENSMUSG00000001225	1.124081	0.000378506	0.1632681	0.9793173	NA
ENSMUSG00000001227	597.7351	-0.009177009	0.08951004	0.8866091	0.9758618
ENSMUSG00000001228	8.587382	0.04391637	0.17748261	0.09943267	0.5615837
ENSMUSG00000001229	238.0068	-0.07552425	0.12004472	0.19753	0.6658595
ENSMUSG00000001240	34.16054	0.00228547	0.13134915	0.9537416	0.98935
ENSMUSG00000001247	18.22475	0.03159614	0.13557315	0.4025295	0.8129462
ENSMUSG00000001248	658.8256	0.1391311	0.09385038	0.03681398	0.4084507
ENSMUSG00000001249	3.294835	0.01023919	0.15469024	0.5689286	0.8829487
ENSMUSG00000001260	570.7232	0.05326504	0.12463229	0.3123853	0.7626699
ENSMUSG00000001270	6275.685	0.1055137	0.11616507	0.09568422	0.5560842
ENSMUSG00000001280	393.3977	0.1094493	0.12556912	0.07036079	0.5058321
ENSMUSG00000001281	2.907897	-0.004546169	0.15120932	0.7969073	0.9506019
ENSMUSG00000001285	149.8219	0.02292923	0.11620742	0.6885412	0.9231046
ENSMUSG00000001288	50.37041	-0.09476106	0.14428644	0.05944757	0.4809347
ENSMUSG00000001289	646.9398	0.07426639	0.10476461	0.2497971	0.7105762
ENSMUSG00000001300	526.0959	-0.01986994	0.1188431	0.7177681	0.9316026
ENSMUSG00000001305	76.54562	0.07190102	0.12309687	0.2019433	0.6700532
ENSMUSG00000001313	407.7698	0.06333768	0.10957884	0.3122749	0.762622
ENSMUSG00000001323	509.0143	-0.1317928	0.11559536	0.04517493	0.4387685
ENSMUSG00000001333	3.852322	-0.0108362	0.14822202	0.5969105	0.8940018
ENSMUSG00000001334	260.5405	-0.06896462	0.12355045	0.215324	0.6808758
ENSMUSG00000001348	0.3788852	-0.006168943	0.21812606	0.6291012	NA
ENSMUSG00000001349	2.36569	-0.02349755	0.19782074	0.2050296	0.6734919
ENSMUSG00000001366	356.3509	-0.06666394	0.11062742	0.2858219	0.744529
ENSMUSG00000001376	714.8408	-0.1772731	0.11179958	0.01060254	0.2661721
ENSMUSG00000001380	404.5295	0.03112711	0.11045941	0.6098472	0.8994734
ENSMUSG00000001383	426.0305	0.07147155	0.12158594	0.2117635	0.6778095
ENSMUSG00000001403	1.417097	0.003728814	0.16722325	0.7961429	NA
ENSMUSG00000001415	735.6201	-0.05295049	0.11619304	0.3681843	0.792117
ENSMUSG00000001416	770.3125	0.1129508	0.10428761	0.08814841	0.5401966
ENSMUSG00000001418	132.9373	0.09992026	0.12661298	0.08829569	0.5405909
ENSMUSG00000001419	837.5326	-0.07628435	0.12190029	0.1856686	0.6543769
ENSMUSG00000001420	2.346363	-0.0108985	0.16278669	0.5127788	0.8611243
ENSMUSG00000001424	666.2934	0.1582578	0.09893717	0.01964184	0.3333847
ENSMUSG00000001435	26.31288	0.09278778	0.16555083	0.03588071	0.4052785
ENSMUSG00000001436	69.50968	0.02565466	0.11641993	0.6534915	0.9142716
ENSMUSG00000001440	1530.49	0.08357161	0.09274403	0.2011313	0.6694648
ENSMUSG00000001441	817.094	-0.0927384	0.12070653	0.1238007	0.5928192
ENSMUSG00000001444	0.1155607	0	0.22572474	1	NA
ENSMUSG00000001445	242.7652	0.07726525	0.11035772	0.2211766	0.685415
ENSMUSG00000001467	355.4643	-0.1856568	0.14714716	0.006597747	0.2275625
ENSMUSG00000001472	2224.423	0.0791631	0.09216297	0.2250114	0.6880811
ENSMUSG00000001473	4.239335	-0.002071256	0.14806921	0.9121951	0.9806484
ENSMUSG00000001482	282.5968	-0.1047206	0.10216941	0.1128957	0.5820007
ENSMUSG00000001493	5.514446	-0.03419076	0.19687451	0.123847	0.5928901
ENSMUSG00000001494	0.5411216	-0.01291102	0.26278533	0.3363971	NA
ENSMUSG00000001496	13.41143	0.00367294	0.13814167	0.8989913	0.9781464
ENSMUSG00000001504	2.584903	0.08472481	0.51193598	0.0228571	0.3503972
ENSMUSG00000001506	23.46215	0.03337664	0.15379722	0.2078871	0.6753051
ENSMUSG00000001507	79.15852	0.02828714	0.1249477	0.5678358	0.8829487
ENSMUSG00000001508	0.2807479	-0.003262825	0.22792098	0.7843587	NA
ENSMUSG00000001517	9.213925	-0.05970878	0.24069151	0.04160832	0.4270516
ENSMUSG00000001518	107.75	2.599215e-05	0.11709709	0.9996302	1
ENSMUSG00000001520	97.25604	0.07234067	0.13783251	0.124345	0.5935962
ENSMUSG00000001521	96.65704	-0.02893108	0.13178126	0.4871798	0.8506926
ENSMUSG00000001524	70.14727	-0.003843545	0.12734476	0.9321218	0.9841763
ENSMUSG00000001525	1920.719	-0.01315481	0.09100642	0.8384025	0.963875
ENSMUSG00000001542	140.6096	-0.07310053	0.12223462	0.1999857	0.6679872
ENSMUSG00000001552	325.7719	-0.0108924	0.11591057	0.8487495	0.9666157
ENSMUSG00000001555	35.51099	-0.01212657	0.13381267	0.7383458	0.9366958
ENSMUSG00000001558	2.652165	-0.004411304	0.15609032	0.785491	0.9468162
ENSMUSG00000001569	222.7243	0.08181059	0.12277186	0.1573684	0.6214761
ENSMUSG00000001576	549.9979	-0.0147354	0.09877544	0.8188041	0.9575733
ENSMUSG00000001583	0.3130506	-0.007925932	0.24231378	0.5228708	NA
ENSMUSG00000001588	0.2445368	0.003497511	0.22784211	0.7699588	NA
ENSMUSG00000001604	1.048029	0.003317582	0.16977816	0.8146599	NA
ENSMUSG00000001627	160.4005	0.08847358	0.1272652	0.1170632	0.5840199
ENSMUSG00000001630	220.7444	0.005025445	0.09874486	0.9376924	0.9852947
ENSMUSG00000001632	214.4138	-0.005691327	0.10640138	0.9272994	0.9833167
ENSMUSG00000001642	257.262	-0.1119508	0.11872257	0.07627262	0.5169848
ENSMUSG00000001655	0.06078082	-0.00696062	0.23874431	0.5704235	NA
ENSMUSG00000001663	35.16871	0.01974993	0.1326284	0.6127824	0.9005607
ENSMUSG00000001665	15.72357	0.05917089	0.1531252	0.1003954	0.5638153
ENSMUSG00000001666	74.2202	0.01623624	0.12239881	0.7522287	0.9387604
ENSMUSG00000001670	0.576351	2.553142e-05	0.19001977	0.9984243	NA
ENSMUSG00000001672	3.038684	0.01762744	0.17655758	0.3151439	0.7645291
ENSMUSG00000001674	119.6623	0.01708066	0.11839611	0.75725	0.9406732
ENSMUSG00000001687	1296.089	0.03660474	0.10464647	0.5636267	0.8809423
ENSMUSG00000001700	93.05875	0.04966192	0.12094559	0.368921	0.7924953
ENSMUSG00000001707	95.79425	0.04313793	0.12266027	0.4175102	0.8201457
ENSMUSG00000001729	731.6134	0.01971745	0.10377263	0.7556209	0.939726
ENSMUSG00000001739	2.363766	0.009646824	0.17216904	0.5286453	0.868007
ENSMUSG00000001741	25.03378	0.01359752	0.13055975	0.7412312	0.9374224
ENSMUSG00000001750	71.30676	-0.03278568	0.13108392	0.4474052	0.8331841
ENSMUSG00000001751	54.41445	-0.01535507	0.12685005	0.7399396	0.937296
ENSMUSG00000001755	101.7495	-0.003283493	0.1101123	0.9568711	0.9896063
ENSMUSG00000001761	90.46935	0.06074378	0.13048877	0.2172844	0.6828716
ENSMUSG00000001763	59.26953	0.1145742	0.15193175	0.03172054	0.3905288
ENSMUSG00000001767	186.2464	0.1017118	0.11757996	0.1035982	0.5717119
ENSMUSG00000001768	205.4466	-0.007418534	0.11823609	0.8930445	0.9777042
ENSMUSG00000001773	71.3671	-0.003487825	0.12046932	0.9475989	0.9879772
ENSMUSG00000001774	280.3097	-0.1220254	0.10672071	0.06630477	0.4977295
ENSMUSG00000001783	664.586	0.1025884	0.10805001	0.1156768	0.5821758
ENSMUSG00000001785	184.4079	0.09066937	0.10551421	0.1635477	0.6284489
ENSMUSG00000001786	258.8715	-0.03891735	0.10645525	0.5359718	0.87016
ENSMUSG00000001794	358.9163	-0.005238822	0.11393882	0.928589	0.983414
ENSMUSG00000001802	345.8925	0.07766205	0.10227109	0.2327052	0.695522
ENSMUSG00000001815	0.1783387	0	0.22572474	1	NA
ENSMUSG00000001827	1.568742	-0.0001033083	0.16323268	0.994355	0.9986195
ENSMUSG00000001829	337.1727	-0.03615365	0.11685646	0.5282845	0.8678927
ENSMUSG00000001833	1691.906	-0.1127341	0.11026972	0.0847171	0.5357974
ENSMUSG00000001844	112.2199	-0.01510995	0.11194933	0.8005892	0.9514828
ENSMUSG00000001847	1490.528	0.05707635	0.07758635	0.3541763	0.7826151
ENSMUSG00000001855	330.7851	-0.03730852	0.14113413	0.2747384	0.7347321
ENSMUSG00000001864	74.70253	-0.03096554	0.12748014	0.510118	0.8605493
ENSMUSG00000001870	44.24383	-0.01654631	0.12786814	0.7134157	0.9308041
ENSMUSG00000001891	523.0341	-0.08661582	0.10383173	0.1838893	0.6529409
ENSMUSG00000001901	12.26341	0.01030599	0.13660386	0.7467915	0.9384727
ENSMUSG00000001909	280.115	-0.01880335	0.10184318	0.768283	0.9435156
ENSMUSG00000001910	462.1601	-0.07891286	0.09275158	0.2268482	0.6896151
ENSMUSG00000001911	228.2556	-0.06488005	0.13960874	0.1398369	0.6035701
ENSMUSG00000001918	12.72187	0.05809899	0.15590442	0.09551351	0.5559406
ENSMUSG00000001924	1869.266	0.09765141	0.08442486	0.1271397	0.5944083
ENSMUSG00000001930	132.8775	-0.004631912	0.13048213	0.9094936	0.9800267
ENSMUSG00000001942	117.4951	0.04700534	0.11739448	0.4148051	0.81941
ENSMUSG00000001943	4.201788	-0.01483929	0.15767028	0.4299388	0.8253145
ENSMUSG00000001946	60.37841	0.009735619	0.1254944	0.8381211	0.9637817
ENSMUSG00000001948	9.062972	0.04421139	0.15776762	0.1335663	0.5997569
ENSMUSG00000001962	70.7272	0.08638109	0.12827256	0.1200314	0.5876969
ENSMUSG00000001964	107.5472	0.03089116	0.12415748	0.5414369	0.8733257
ENSMUSG00000001983	41.0499	0.06560521	0.12567029	0.221923	0.6857761
ENSMUSG00000001985	583.3144	-0.05179761	0.12120595	0.3488027	0.7788647
ENSMUSG00000001986	1678.703	-0.3129375	0.15471469	0.0001420827	0.02716601
ENSMUSG00000001988	5.243343	-0.01032519	0.1461224	0.6316575	0.9072899
ENSMUSG00000001995	265.9531	-0.03649099	0.10839179	0.5567149	0.8790628
ENSMUSG00000001998	171.4083	0.03129869	0.12041154	0.5635885	0.8809423
ENSMUSG00000001999	68.41781	-0.01037499	0.12661963	0.8226055	0.9591266
ENSMUSG00000002006	971.5652	0.1228766	0.11026616	0.06282743	0.4902342
ENSMUSG00000002007	33.00293	0.001151249	0.13873784	0.9671429	0.9911046
ENSMUSG00000002010	510.9716	0.01441529	0.09804362	0.8229048	0.9591824
ENSMUSG00000002012	546.4016	0.1302753	0.12567692	0.03976283	0.4175645
ENSMUSG00000002014	189.6297	0.02239853	0.11365896	0.7039371	0.9271938
ENSMUSG00000002015	219.9665	0.08440147	0.09956976	0.1978017	0.6660536
ENSMUSG00000002017	112.54	-0.03652281	0.10906075	0.5545831	0.8785532
ENSMUSG00000002020	4.592034	0.01270979	0.14411914	0.5909688	0.8922414
ENSMUSG00000002028	1781.933	-0.03360123	0.12763915	0.4763217	0.8477506
ENSMUSG00000002031	153.296	-0.03169854	0.11339607	0.5936529	0.8931238
ENSMUSG00000002032	96.97641	0.01939156	0.1149744	0.7380447	0.9366958
ENSMUSG00000002043	35.97616	0.02312102	0.12705928	0.6200327	0.9039592
ENSMUSG00000002052	1209.338	0.02729463	0.07816022	0.6584092	0.9147417
ENSMUSG00000002055	23.76681	-0.02260884	0.1386856	0.4776828	0.8477506
