gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000325	171.0075	0.02112058	0.0637314	0.2768308	0.9418056
ENSMUSG00000000326	403.2661	0.0005963339	0.05758713	0.9712868	0.9983069
ENSMUSG00000000339	192.741	0.007228262	0.05887049	0.6670536	0.9925851
ENSMUSG00000000340	148.7119	0.005788781	0.06479101	0.6589676	0.9925851
ENSMUSG00000000346	428.4715	-0.009597759	0.05353805	0.5988542	0.9903903
ENSMUSG00000000355	147.0373	-0.00804694	0.06252276	0.5996199	0.9903903
ENSMUSG00000000359	2.482797	0.002663446	0.07027264	0.4367592	NA
ENSMUSG00000000365	11.73405	-0.005954646	0.06883525	0.4585063	0.9833475
ENSMUSG00000000374	892.9476	-0.002471311	0.04289023	0.8844703	0.9976529
ENSMUSG00000000378	284.6404	-0.001374191	0.06147777	0.9263805	0.9983069
ENSMUSG00000000384	118.1682	0.01169137	0.06266287	0.4746872	0.9833475
ENSMUSG00000000386	1.526758	0.001575185	0.07047145	0.5699681	NA
ENSMUSG00000000392	3.377443	-0.002046778	0.06943125	0.6819693	NA
ENSMUSG00000000399	482.9869	-0.009173691	0.0568341	0.6047144	0.9907391
ENSMUSG00000000402	8.991361	0.01285052	0.07261348	0.06289189	NA
ENSMUSG00000000409	12.54848	-0.004799727	0.06904713	0.4953335	0.9833475
ENSMUSG00000000411	1.164657	-0.002279457	0.07213267	0.3336689	NA
ENSMUSG00000000416	1358.814	-0.02973491	0.07612148	0.09164357	0.8261421
ENSMUSG00000000420	454.5489	0.02231168	0.06887137	0.20956	0.9174882
ENSMUSG00000000439	228.5972	0.005527683	0.05497636	0.7526036	0.9955018
ENSMUSG00000000440	6.18901	-0.002070049	0.06857735	0.7714814	NA
ENSMUSG00000000441	622.0617	0.0004767451	0.04030629	0.976861	0.9983069
ENSMUSG00000000486	0.4471045	0.0001746733	0.07179656	0.920358	NA
ENSMUSG00000000489	77.21797	0.003382842	0.0584502	0.8367751	0.9959254
ENSMUSG00000000530	71.43787	-0.008504849	0.06793101	0.4285062	0.975772
ENSMUSG00000000531	180.6975	0.00865894	0.06589714	0.506831	0.9833475
ENSMUSG00000000532	702.5388	0.01769343	0.05029068	0.3582878	0.9678929
ENSMUSG00000000538	1342.133	-0.01376785	0.05748134	0.4589116	0.9833475
ENSMUSG00000000544	0.1155471	-0.0002860386	0.0759069	0.8287739	NA
ENSMUSG00000000552	72.36379	-0.0007593526	0.06714524	0.936542	0.9983069
ENSMUSG00000000555	45.71987	-0.009557438	0.0697975	0.262631	0.9407565
ENSMUSG00000000560	506.3089	0.006500511	0.06026477	0.6868558	0.9934974
ENSMUSG00000000561	375.9186	0.04317027	0.07792435	0.0768288	0.8078312
ENSMUSG00000000562	5.203029	-0.001598609	0.06928559	0.7622026	NA
ENSMUSG00000000563	1100.994	-0.009909993	0.05659003	0.580054	0.9892007
ENSMUSG00000000567	104.7493	-0.03617199	0.08307451	0.03092035	0.6919183
ENSMUSG00000000568	924.4624	1.492923e-05	0.05682801	0.9992906	1
ENSMUSG00000000579	61.50288	0.01272578	0.07023492	0.2138807	0.9185453
ENSMUSG00000000581	254.4397	0.005390499	0.06302291	0.7079487	0.9945077
ENSMUSG00000000594	261.8801	0.04067009	0.07372591	0.09741739	0.8330444
ENSMUSG00000000600	658.4872	-0.08299168	0.10126235	0.01089813	0.5890156
ENSMUSG00000000605	1228.649	0.00443323	0.04975314	0.8035042	0.9959254
ENSMUSG00000000627	161.3084	0.012266	0.06473563	0.4253331	0.975772
ENSMUSG00000000628	23.0735	-0.002014684	0.06714724	0.834716	0.9959254
ENSMUSG00000000631	1075.641	0.01541925	0.06373219	0.3700549	0.9710376
ENSMUSG00000000632	1921.652	-0.01990567	0.07129902	0.1689865	0.8976294
ENSMUSG00000000673	0.8107182	-8.520662e-05	0.07131377	0.9640828	NA
ENSMUSG00000000682	5.467482	-0.002760472	0.06916116	0.6420836	NA
ENSMUSG00000000686	9.357214	-0.008103381	0.07015349	0.2324737	0.9331619
ENSMUSG00000000690	0.04395546	0	0.07553484	1	NA
ENSMUSG00000000693	25.23361	0.007057125	0.06823463	0.4620816	0.9833475
ENSMUSG00000000706	0.9133552	0.002761272	0.07845883	0.1777853	NA
ENSMUSG00000000708	337.9316	-0.01613507	0.0674714	0.2920358	0.9534979
ENSMUSG00000000711	866.681	-0.0006680509	0.05025789	0.9698674	0.9983069
ENSMUSG00000000724	0.2215395	0	0.07553484	1	NA
ENSMUSG00000000730	0.1140666	-0.0005867516	0.07705182	0.6614415	NA
ENSMUSG00000000731	0.5079538	-0.00157061	0.07393811	0.3943636	NA
ENSMUSG00000000732	21.33332	0.005598448	0.0677771	0.5620387	0.9863285
ENSMUSG00000000738	240.5511	-0.01193175	0.06440497	0.4403749	0.9782461
ENSMUSG00000000739	0.4568295	-6.185473e-05	0.0739812	0.965244	NA
ENSMUSG00000000740	1629.422	2.004949e-05	0.05004638	0.9990954	1
ENSMUSG00000000743	468.9379	0.01942683	0.05683549	0.3311362	0.9602468
ENSMUSG00000000751	324.5633	-0.006072752	0.05903011	0.7136245	0.9945077
ENSMUSG00000000753	30.93805	-0.0210084	0.07526536	0.05181803	0.7639268
ENSMUSG00000000759	376.0286	0.006522435	0.052425	0.71601	0.9945077
ENSMUSG00000000766	158.8892	-0.01032255	0.06615647	0.4443312	0.9784469
ENSMUSG00000000776	77.40036	0.004691546	0.05919129	0.7732863	0.9959254
ENSMUSG00000000782	33.5638	0.0005069479	0.06543713	0.9653998	0.9983069
ENSMUSG00000000787	1981.95	0.02163856	0.06291827	0.2751054	0.9418056
ENSMUSG00000000791	3.800804	0.001720096	0.06949235	0.7161528	NA
ENSMUSG00000000792	33.2515	0.003151282	0.06768079	0.7274214	0.9945077
ENSMUSG00000000794	583.7462	-0.009783466	0.05613983	0.5860968	0.9896511
ENSMUSG00000000804	1198.428	-0.03004123	0.05947274	0.1796538	0.8976294
ENSMUSG00000000805	32.68514	0.02095363	0.07490638	0.06182141	0.7919027
ENSMUSG00000000811	19.16539	0.009526619	0.0680744	0.3903108	0.9751418
ENSMUSG00000000817	1.156622	0.002780057	0.07464747	0.2160872	NA
ENSMUSG00000000823	602.4644	-0.00876084	0.05966604	0.6027212	0.9907391
ENSMUSG00000000826	2368.616	0.00617864	0.06284255	0.6737611	0.9925851
ENSMUSG00000000827	288.5263	-0.008298554	0.05681085	0.6367002	0.9918021
ENSMUSG00000000838	427.7223	-0.004114438	0.05580511	0.8113394	0.9959254
ENSMUSG00000000861	553.8728	-0.01385916	0.06551583	0.373019	0.9710376
ENSMUSG00000000869	0.3310135	0	0.07553484	1	NA
ENSMUSG00000000876	59.19376	-0.0007056685	0.06220373	0.9609171	0.9983069
ENSMUSG00000000881	1040.337	0.02088082	0.05712291	0.3039416	0.9540687
ENSMUSG00000000884	22.58597	-0.01233402	0.0702161	0.2156231	0.9186468
ENSMUSG00000000889	0.4865456	0.0003155038	0.07413309	0.8257135	NA
ENSMUSG00000000901	11.17377	-0.0004830794	0.06818488	0.95027	0.9983069
ENSMUSG00000000902	355.4194	0.02216182	0.06410847	0.2607634	0.9407565
ENSMUSG00000000903	0.3940168	-0.0008025552	0.07830807	0.5556358	NA
ENSMUSG00000000915	560.1308	0.03203789	0.07259775	0.1288406	0.8715934
ENSMUSG00000000916	66.10722	0.002603091	0.0648539	0.8342703	0.9959254
ENSMUSG00000000934	68.19165	0.0222406	0.07203448	0.1512829	0.8817938
ENSMUSG00000000938	0.06412521	0.0001548251	0.07564309	0.9065953	NA
ENSMUSG00000000948	597.8028	-0.03062894	0.07677381	0.08489466	0.8171523
ENSMUSG00000000957	40.04181	0.007269558	0.06613901	0.5542808	0.9860567
ENSMUSG00000000958	7.374008	0.004353164	0.06946479	0.4578831	NA
ENSMUSG00000000959	213.4924	0.003565188	0.05239824	0.8402538	0.9959254
ENSMUSG00000000976	185.8068	-0.01357136	0.06343533	0.4146028	0.975772
ENSMUSG00000000982	0.6541386	0.0002474806	0.07231083	0.8802557	NA
ENSMUSG00000000983	3.080647	0.006322088	0.07083995	0.1720576	NA
ENSMUSG00000001014	1.685709	-0.0005595766	0.07026223	0.836376	NA
ENSMUSG00000001016	485.4105	0.01197574	0.05197992	0.5204632	0.9833475
ENSMUSG00000001017	981.4175	0.004880897	0.05090485	0.7844624	0.9959254
ENSMUSG00000001018	273.1111	-0.01277383	0.056986	0.4884828	0.9833475
ENSMUSG00000001020	10.08167	-0.009674221	0.06947048	0.2914057	0.9532663
ENSMUSG00000001021	7.701095	-0.004922354	0.06932993	0.4470109	NA
ENSMUSG00000001023	0.03952348	-0.0002856722	0.07590594	0.8289884	NA
ENSMUSG00000001025	42.06424	0.00805248	0.06642177	0.5125564	0.9833475
ENSMUSG00000001027	0.05517465	0	0.07553484	1	NA
ENSMUSG00000001029	8.416509	0.0003057006	0.06893236	0.9598191	NA
ENSMUSG00000001034	90.07204	0.03590959	0.08105736	0.05051869	0.755646
ENSMUSG00000001036	926.7434	-0.00141955	0.05265067	0.9356174	0.9983069
ENSMUSG00000001039	53.02639	0.0007420571	0.06500535	0.9512623	0.9983069
ENSMUSG00000001052	341.7893	-0.01368981	0.06573181	0.3720495	0.9710376
ENSMUSG00000001053	56.30276	-0.004586969	0.06530429	0.7103644	0.9945077
ENSMUSG00000001054	229.2116	-0.004742402	0.06019453	0.7650361	0.9958846
ENSMUSG00000001056	125.6309	-0.04378733	0.0814807	0.05953403	0.791842
ENSMUSG00000001062	210.8916	0.001185186	0.06190635	0.9353278	0.9983069
ENSMUSG00000001065	180.0763	0.001759782	0.05305274	0.9200913	0.9983069
ENSMUSG00000001082	72.84644	-0.000523544	0.06398904	0.9680443	0.9983069
ENSMUSG00000001089	513.9333	-0.01821163	0.06261247	0.3298097	0.9602183
ENSMUSG00000001098	288.498	0.005006659	0.0552322	0.7740089	0.9959254
ENSMUSG00000001100	415.0173	0.03404978	0.0724392	0.123816	0.8638751
ENSMUSG00000001103	4.594667	0.003871292	0.07046641	0.3036641	NA
ENSMUSG00000001105	172.6914	-0.00525798	0.06150932	0.7309274	0.9945077
ENSMUSG00000001119	1504.927	0.01517296	0.06417162	0.3690564	0.9710376
ENSMUSG00000001120	179.0161	0.02443321	0.07173963	0.1558663	0.8858903
ENSMUSG00000001123	18.85471	-0.005635954	0.06803478	0.5433432	0.9837023
ENSMUSG00000001127	955.3127	0.01077121	0.05511856	0.5559869	0.9860567
ENSMUSG00000001128	26.44985	0.01587547	0.07245285	0.1005964	0.8364967
ENSMUSG00000001131	0.1812388	0.0001554814	0.07564402	0.9062019	NA
ENSMUSG00000001134	26.59134	0.008483122	0.06854957	0.3899229	0.9751418
ENSMUSG00000001138	175.8368	0.02968996	0.07571888	0.09723532	0.8330444
ENSMUSG00000001143	193.5553	0.001515429	0.0650838	0.9003816	0.9983069
ENSMUSG00000001150	598.357	-0.03937164	0.06952037	0.1116243	0.856755
ENSMUSG00000001151	349.8932	0.02541789	0.06682404	0.2079227	0.9173345
ENSMUSG00000001155	1.001317	0.003729698	0.07368966	0.166178	NA
ENSMUSG00000001156	208.3001	-0.02571179	0.07362188	0.1231336	0.8633065
ENSMUSG00000001157	217.3315	-0.005238088	0.05665593	0.7601259	0.9958846
ENSMUSG00000001158	119.3515	0.007866509	0.06364468	0.5893401	0.9896511
ENSMUSG00000001166	5.006491	-0.000548409	0.06899168	0.9262885	NA
ENSMUSG00000001173	690.7722	-0.01066754	0.05889648	0.5427107	0.9837023
ENSMUSG00000001175	16957.39	-0.002773445	0.04627003	0.8742531	0.9970857
ENSMUSG00000001211	1143.141	0.005327123	0.05336818	0.7638797	0.9958846
ENSMUSG00000001225	1.124081	0.0006361211	0.07021159	0.8199852	NA
ENSMUSG00000001227	597.7351	0.02310468	0.05779859	0.2668962	0.9418056
ENSMUSG00000001228	8.587382	-7.999993e-06	0.06883076	0.9989895	NA
ENSMUSG00000001229	238.0068	-0.007555819	0.06107327	0.6361623	0.9918021
ENSMUSG00000001240	34.16054	0.00129566	0.06618795	0.9050894	0.9983069
ENSMUSG00000001247	18.22475	0.01347412	0.07045645	0.1997076	0.9096831
ENSMUSG00000001248	658.8256	0.06168657	0.08257317	0.04081511	0.7263677
ENSMUSG00000001249	3.294835	-0.001410715	0.06959241	0.7466633	NA
ENSMUSG00000001260	570.7232	0.01583895	0.06796469	0.2834438	0.946618
ENSMUSG00000001270	6275.685	0.004319771	0.05766745	0.7967558	0.9959254
ENSMUSG00000001280	393.3977	0.008108114	0.06122362	0.6129457	0.9907391
ENSMUSG00000001281	2.907897	-4.160523e-05	0.06966528	0.9916422	NA
ENSMUSG00000001285	149.8219	-0.00293214	0.0598759	0.8528168	0.9967687
ENSMUSG00000001288	50.37041	-0.002350775	0.06444965	0.8541251	0.9967687
ENSMUSG00000001289	646.9398	-0.001682835	0.05315329	0.9235152	0.9983069
ENSMUSG00000001300	526.0959	0.003609249	0.06169398	0.8090931	0.9959254
ENSMUSG00000001305	76.54562	0.005067623	0.06080662	0.7456842	0.9953725
ENSMUSG00000001313	407.7698	-0.002526791	0.05573202	0.8827848	0.9976529
ENSMUSG00000001323	509.0143	-0.02686986	0.0685117	0.1841515	0.8976294
ENSMUSG00000001333	3.852322	0.003394225	0.069761	0.4678786	NA
ENSMUSG00000001334	260.5405	-0.005550867	0.06223121	0.7100119	0.9945077
ENSMUSG00000001348	0.3788852	-0.0009737736	0.07475773	0.5338935	NA
ENSMUSG00000001349	2.36569	-0.0009916701	0.07000412	0.7590095	NA
ENSMUSG00000001366	356.3509	0.04256362	0.0810588	0.06162631	0.7919027
ENSMUSG00000001376	714.8408	-0.07300701	0.09489038	0.01883125	0.6358009
ENSMUSG00000001380	404.5295	0.01904273	0.06455687	0.2984295	0.9540687
ENSMUSG00000001383	426.0305	0.01646918	0.06635734	0.3106291	0.9557403
ENSMUSG00000001403	1.417097	0.0005831539	0.07025603	0.8303715	NA
ENSMUSG00000001415	735.6201	-0.01959759	0.06711242	0.2587148	0.9407565
ENSMUSG00000001416	770.3125	0.01862417	0.05940088	0.3409659	0.9656154
ENSMUSG00000001418	132.9373	0.002709478	0.06006164	0.8629859	0.9968315
ENSMUSG00000001419	837.5326	-0.009127567	0.06262848	0.5576986	0.9860567
ENSMUSG00000001420	2.346363	-0.004162581	0.07080962	0.2499566	NA
ENSMUSG00000001424	666.2934	0.02292889	0.05863162	0.2693995	0.9418056
ENSMUSG00000001435	26.31288	-0.001108957	0.06604585	0.9198794	0.9983069
ENSMUSG00000001436	69.50968	0.01044593	0.06150347	0.5270704	0.9833475
ENSMUSG00000001440	1530.49	-0.0005305007	0.04693359	0.9758896	0.9983069
ENSMUSG00000001441	817.094	-0.02736847	0.07269166	0.1376986	0.8817938
ENSMUSG00000001444	0.1155607	-0.000285997	0.07590679	0.8287982	NA
ENSMUSG00000001445	242.7652	-0.00550662	0.05572352	0.7515953	0.9953725
ENSMUSG00000001467	355.4643	-0.00407674	0.05881441	0.8031697	0.9959254
ENSMUSG00000001472	2224.423	0.02993734	0.06395169	0.1807352	0.8976294
ENSMUSG00000001473	4.239335	0.00281084	0.06981525	0.5117186	NA
ENSMUSG00000001482	282.5968	0.0001431361	0.05019415	0.9935415	0.9995253
ENSMUSG00000001493	5.514446	0.003174082	0.07002486	0.4303046	NA
ENSMUSG00000001494	0.5411216	0	0.07500461	1	NA
ENSMUSG00000001496	13.41143	0.001434979	0.06833645	0.8487829	0.9965697
ENSMUSG00000001504	2.584903	0.004869736	0.07466084	0.1067415	NA
ENSMUSG00000001506	23.46215	0.008038003	0.0703827	0.2026952	0.9123737
ENSMUSG00000001507	79.15852	0.02079229	0.07178318	0.1563129	0.8864678
ENSMUSG00000001508	0.2807479	-7.702763e-06	0.07541677	0.9953588	NA
ENSMUSG00000001517	9.213925	-0.01136885	0.0737804	0.04137896	NA
ENSMUSG00000001518	107.75	0.01286868	0.06374902	0.4272011	0.975772
ENSMUSG00000001520	97.25604	0.01251772	0.0682455	0.3198582	0.9584649
ENSMUSG00000001521	96.65704	0.002872865	0.06625804	0.7934742	0.9959254
ENSMUSG00000001524	70.14727	0.01416827	0.06895184	0.2701327	0.9418056
ENSMUSG00000001525	1920.719	0.02885973	0.06337822	0.1915168	0.9017065
ENSMUSG00000001542	140.6096	-0.02405904	0.07125156	0.1647156	0.8976294
ENSMUSG00000001552	325.7719	-0.005173731	0.06053709	0.7428911	0.9953725
ENSMUSG00000001555	35.51099	-0.006803566	0.06790488	0.4948894	0.9833475
ENSMUSG00000001558	2.652165	0.003922364	0.07147051	0.2198013	NA
ENSMUSG00000001569	222.7243	0.03233821	0.07720783	0.08345887	0.8171523
ENSMUSG00000001576	549.9979	0.002379643	0.05110759	0.8930756	0.9983069
ENSMUSG00000001583	0.3130506	-0.0004935979	0.07664144	0.7109634	NA
ENSMUSG00000001588	0.2445368	0.0006034542	0.07688036	0.6548864	NA
ENSMUSG00000001604	1.048029	-0.001227199	0.07048486	0.6416745	NA
ENSMUSG00000001627	160.4005	0.005742755	0.06189148	0.7049106	0.9945077
ENSMUSG00000001630	220.7444	-0.000995135	0.04989541	0.9551422	0.9983069
ENSMUSG00000001632	214.4138	-0.003830781	0.0548979	0.825657	0.9959254
ENSMUSG00000001642	257.262	0.006293257	0.05825934	0.7087283	0.9945077
ENSMUSG00000001655	0.06078082	0	0.07553484	1	NA
ENSMUSG00000001663	35.16871	-0.001055422	0.0663111	0.9214049	0.9983069
ENSMUSG00000001665	15.72357	0.006869424	0.06829991	0.4651085	0.9833475
ENSMUSG00000001666	74.2202	-0.006982398	0.06340491	0.6300261	0.9918021
ENSMUSG00000001670	0.576351	0.0003121004	0.07153809	0.8650539	NA
ENSMUSG00000001672	3.038684	0.0005226497	0.06978417	0.8866323	NA
ENSMUSG00000001674	119.6623	-0.003173614	0.06072138	0.8369517	0.9959254
ENSMUSG00000001687	1296.089	0.009327582	0.05643031	0.6009115	0.9906752
ENSMUSG00000001700	93.05875	0.02048973	0.06904174	0.2185795	0.9206905
ENSMUSG00000001707	95.79425	0.007988271	0.06324913	0.5911271	0.9899008
ENSMUSG00000001729	731.6134	-0.0009286114	0.05381307	0.9575016	0.9983069
ENSMUSG00000001739	2.363766	0.0005115804	0.07008789	0.8635419	NA
ENSMUSG00000001741	25.03378	-0.006255268	0.06636757	0.5929295	0.9903349
ENSMUSG00000001750	71.30676	0.006671842	0.06665349	0.5625739	0.9863285
ENSMUSG00000001751	54.41445	0.001801024	0.06451296	0.8870109	0.9978537
ENSMUSG00000001755	101.7495	-0.00896037	0.05801337	0.6065295	0.9907391
ENSMUSG00000001761	90.46935	0.01399665	0.06797539	0.307206	0.9557403
ENSMUSG00000001763	59.26953	0.001566461	0.06342659	0.9081088	0.9983069
ENSMUSG00000001767	186.2464	-0.002733655	0.0569834	0.8710229	0.9970857
ENSMUSG00000001768	205.4466	-0.00441888	0.06139919	0.7715045	0.9959254
ENSMUSG00000001773	71.3671	-0.009125885	0.06328635	0.5477637	0.9842256
ENSMUSG00000001774	280.3097	-0.01678217	0.05826503	0.3826712	0.9751418
ENSMUSG00000001783	664.586	0.01330317	0.05783618	0.4700314	0.9833475
ENSMUSG00000001785	184.4079	0.00612986	0.05266739	0.7316251	0.9947426
ENSMUSG00000001786	258.8715	-0.006657655	0.05581105	0.7040056	0.9945077
ENSMUSG00000001794	358.9163	0.009983112	0.06122999	0.5453275	0.9838303
ENSMUSG00000001802	345.8925	0.048229	0.08044528	0.06143838	0.7919027
ENSMUSG00000001815	0.1783387	0	0.07553484	1	NA
ENSMUSG00000001827	1.568742	0.001498204	0.07039515	0.5950544	NA
ENSMUSG00000001829	337.1727	-0.01180731	0.06313898	0.4647094	0.9833475
ENSMUSG00000001833	1691.906	0.001641181	0.05451412	0.9245756	0.9983069
ENSMUSG00000001844	112.2199	-0.005460056	0.0577492	0.7464128	0.9953725
ENSMUSG00000001847	1490.528	0.07439326	0.08096182	0.02716298	0.6813505
ENSMUSG00000001855	330.7851	-0.001671548	0.06787986	0.8427314	0.9959254
ENSMUSG00000001864	74.70253	-0.004555718	0.06483702	0.7216337	0.9945077
ENSMUSG00000001870	44.24383	0.02057012	0.07296774	0.1211547	0.8633065
ENSMUSG00000001891	523.0341	-0.001614964	0.05224695	0.9269447	0.9983069
ENSMUSG00000001901	12.26341	0.0126222	0.0711802	0.1452593	0.8817938
ENSMUSG00000001909	280.115	-0.02739013	0.06629557	0.1949221	0.9047523
ENSMUSG00000001910	462.1601	-0.01120318	0.04997913	0.5436295	0.9837023
ENSMUSG00000001911	228.2556	-0.006094175	0.06685443	0.5823391	0.9892007
ENSMUSG00000001918	12.72187	0.0004970359	0.06746873	0.9560665	0.9983069
ENSMUSG00000001924	1869.266	0.001015389	0.04222889	0.9519902	0.9983069
ENSMUSG00000001930	132.8775	-0.01353336	0.06965564	0.2440355	0.9345905
ENSMUSG00000001942	117.4951	-0.01113084	0.06187482	0.5012534	0.9833475
ENSMUSG00000001943	4.201788	0.002208589	0.06985012	0.5766641	NA
ENSMUSG00000001946	60.37841	0.009427158	0.06580907	0.4825977	0.9833475
ENSMUSG00000001948	9.062972	0.001756282	0.06833022	0.8169163	NA
ENSMUSG00000001962	70.7272	0.04062162	0.08461129	0.03376197	0.6931053
ENSMUSG00000001964	107.5472	0.01804613	0.06962192	0.2200507	0.9225473
ENSMUSG00000001983	41.0499	-0.01203811	0.06404675	0.4439269	0.9784469
ENSMUSG00000001985	583.3144	0.001272523	0.06159908	0.9314641	0.9983069
ENSMUSG00000001986	1678.703	-0.05367586	0.08480831	0.04420295	0.7344079
ENSMUSG00000001988	5.243343	0.007305463	0.07112955	0.1357818	NA
ENSMUSG00000001995	265.9531	0.00723375	0.05688009	0.6772128	0.9925851
ENSMUSG00000001998	171.4083	0.003211536	0.06177683	0.8287042	0.9959254
ENSMUSG00000001999	68.41781	-0.008080636	0.06590505	0.528441	0.9833475
ENSMUSG00000002006	971.5652	0.02029006	0.06252357	0.2969072	0.9540687
ENSMUSG00000002007	33.00293	0.001332687	0.0685866	0.8486052	0.9965697
ENSMUSG00000002010	510.9716	0.006830909	0.05162745	0.7042427	0.9945077
ENSMUSG00000002012	546.4016	0.05949312	0.095153	0.01544249	0.6015699
ENSMUSG00000002014	189.6297	0.008363277	0.05994879	0.6151824	0.9907391
ENSMUSG00000002015	219.9665	0.01066429	0.05193363	0.5632686	0.9863285
ENSMUSG00000002017	112.54	-0.007975947	0.05676289	0.6490321	0.9918021
ENSMUSG00000002020	4.592034	0.006538346	0.06983899	0.3008707	NA
ENSMUSG00000002028	1781.933	-0.005688876	0.0654663	0.6481683	0.9918021
ENSMUSG00000002031	153.296	-0.00953234	0.05990183	0.5732836	0.9890353
ENSMUSG00000002032	96.97641	0.01408851	0.06292064	0.4091581	0.975772
ENSMUSG00000002043	35.97616	-0.01966803	0.0711592	0.1729299	0.8976294
ENSMUSG00000002052	1209.338	0.009049418	0.04228391	0.5951487	0.9903903
ENSMUSG00000002055	23.76681	0.01035683	0.07032754	0.2070299	0.9165668
ENSMUSG00000002058	57.71102	0.01163685	0.06682222	0.3889728	0.9751418
ENSMUSG00000002059	134.9485	0.006799266	0.06257602	0.6500306	0.9918021
